"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","MIL_OPS_OPER_CODE","MIL_OPS_CALL","MIL_OPS_HRS","AMCP_HRS","PMSV_HRS","REMARK"
"2026/02/19","25232.","A","UT","HIF","OGDEN","US","A","HILL OPNS","OPR H24 OPR 1500-0700Z++ MON-SAT; 1600-0000Z++ SAT-SUN.","24","PART-TIME",""
"2026/02/19","25289.","A","UT","SLC","SALT LAKE CITY","US","","","1430-2230Z++ MON-THU. CLSD FRI-SUN AND HOL.","","","(MIL_OPS_OPER_CODE) ANG."
"2026/02/19","25647.","A","VA","BKT","BLACKSTONE","US","R","OPERATIONS","SEE RMRKS","","",""
"2026/02/19","25775.01","A","VA","DAA","FORT BELVOIR","US","","","","","PART TIME",""
"2026/02/19","25775.3","A","VA","FAF","FORT EUSTIS","US","R","FELKER","SAME AS ARPT HRS","","PART TIME",""
"2026/02/19","25815.","A","VA","LFI","HAMPTON","US","","","","","CONTINUOUS",""
"2026/02/19","25903.","A","VA","NGU","NORFOLK","US","N","CHAMBERS","24","24","CONTINUOUS",""
"2026/02/19","25959.","A","VA","NYG","QUANTICO","US","N","QUANTICO","SAME AS ARPT OPERG HRS","","CONTINUOUS",""
"2026/02/19","26043.11","A","VA","NTU","VIRGINIA BEACH","US","N","OCEAN BASE OPNS","4","","PMSV 387.4-BASE OPS 284.9 (0700-1200Z++ NOT AVAL) ATCOM 6723.",""
"2026/02/19","26216.","A","WA","GRF","FORT LEWIS/TACOMA","US","","","","","WX OPS H24 MON-FRI, CLSD WKENDS & HOLS. ADNL OPRG RMK WILL BE RPRTD VIA NOTAM.","(PMSV_HRS) WX FLT DSN 357-7061/4363, C253-967-7061/4363. AN/FMQ-19 AUTOMATED OBS SYS IN USE, AUGMENTED BY HUMAN OBS WHEN NEC. DURG WX FLT CLOSURES REMOTE BRIEFING AVBL FM 25TH OWS DSN 228-6598/6599/6588, C520-228-6598/6599/6588."
"2026/02/19","26323.","A","WA","NUW","OAK HARBOR","US","","","","","CONTINUOUS",""
"2026/02/19","26358.","A","WA","NOW","PORT ANGELES","US","C","PORT ANGELES AIR","24","","",""
"2026/02/19","26419.","A","WA","SKA","SPOKANE","US","A","WASHINGTON ANG","24","","24",""
"2026/02/19","26432.","A","WA","TCM","TACOMA","US","A","MCCHORD OPERATIONS CENTER","24","24","",""
"2026/02/19","27346.","A","WI","MSN","MADISON","US","A","RELAY","0730-1600","","",""
"2026/02/19","27388.","A","WI","MKE","MILWAUKEE","US","A","UPSET CONTROL","0800-1630 TUE-SAT","","",""
"2026/02/19","27578.1","A","WI","CMY","SPARTA","US","R","MCCOY OPERATIONS","0630-1530 MON-FRI","","",""
"2026/02/19","27682.","A","WI","ETB","WEST BEND","US","R","ARMY OPERATIONS","1330-2200Z MON-FRI EXC HOL.","","",""
"2026/02/19","27759.","A","WY","CYS","CHEYENNE","US","","","","24","",""
"2026/02/19","50036.","A","AK","EDF","ANCHORAGE","US","A","ELMENDORF ACC CENTER","24","24","CONTINUOUS",""
"2026/02/19","50036.5","A","AK","FRN","FORT RICHARDSON (ANCHORAGE)","US","","","","","24 HRS",""
"2026/02/19","50146.","A","AK","BIG","DELTA JUNCTION FT GREELY","US","R","ALLEN","24","","",""
"2026/02/19","50216.","A","AK","FBK","FAIRBANKS/FT WAINWRIGHT","US","R","WAINWRIGHT OPERATIONS","1700-0800Z++ MON-FRI EXC HOLS; OTR TIMES BY NOTAM; OTR TIMES CLASS G.","","",""
"2026/02/19","50217.","A","AK","EIL","FAIRBANKS","US","","","","","CONTINUOUS",""
"2026/02/19","50416.","A","AK","AKN","KING SALMON","US","A","KING SALMON","0730-1630 MON-FRI","0730-1630 MON-FRI","",""
"2026/02/19","50425.","A","AK","ADQ","KODIAK","US","C","KODIAK AIR","24","","",""
"2026/02/19","50711.","A","AK","SLQ","SLEETMUTE","US","","TOW","","","",""
"2026/02/19","51510.2","A","GU","UAM","YIGO","US","","","","AMC COMD POST H24","CONTINUOUS",""
"2026/02/19","51516.2","A","","KWA","KWAJALEIN","MH","R","BUCHOLZ","24","","",""
"2026/02/19","52161.","A","HI","HNL","HONOLULU","US","A","HICKAM","24","24","CONTINUOUS","(MIL_OPS_CALL) COMMUNICATIONS-: 15 AW COMD POST - 292.5 REMARKS: CALLSIGN (SHAKA OPS).   AIRMOBILITY CTL CENTER - 125.3 349.4 REMARKS: CALLSIGN (SHAKA OPS). "
"2026/02/19","52550.1","A","HI","BSF","CAMP POHAKULOA","US","","","","","PART TIME",""
"2026/02/19","52587.","A","HI","HHI","WAHIAWA","US","R","PINEAPPLE","M-F 1730Z-0900Z","","H24","(PMSV_HRS) 125.1, DSN 315-456-1016/1017, C808-656-1016/1017.  ALT CTC 17 OWS, DSN 315-449-8333/7950, C808-449-8333/7950.  ALT METRO - 346.6 HICKAM."
"2026/02/19","53004.","A","PR","BQN","AGUADILLA","US","C","BORINQUEN OPNS","OPERATES WHEN UNIT ACFT ARE FLYING","","",""
